Parameter,Value
Study period,03 Jan 2015 - 27 Jun 2026
Weeks covered,600
Countries / sea areas,17
ADMIN1 units,243
Event-type classes,6
Sub-event classes,25
Total events,"614,119"
Total fatalities,"552,700"
Rows (country-admin1-week-subevent),"149,814"
