Quantity,Value
"India net oil import volume (2024, OWID-derived)",4.26 million bbl/day
India oil import dependence (2024),87.4%
"Brent, pre-war baseline (1 Dec 2025 - 27 Feb 2026)",US$ 66.6/bbl
"Brent, war period (1 Mar - 15 Sep 2026)",US$ 98.4/bbl (+48%)
"INR/US$, pre-war vs war period",90.54 -> 94.72 (+4.6%)
"Extra import bill, war period (199 days), US$",~US$ 27 billion
"Extra import bill incl. rupee effect, INR",~Rs 2.8 lakh crore
Sensitivity: every US$10/bbl sustained for a year,~US$ 15.6 billion
