length_class,detections,dark,mean_length_m,dark_rate
<25 m (small craft),29989,22451,19.398330257164293,0.7486411684284238
25-50 m (coastal),16936,7906,34.21803660718588,0.4668162494095418
50-100 m (feeder),18039,4546,74.52419850773325,0.2520095348966129
100-160 m (handy),16648,2882,128.69768816981016,0.17311388755406054
160-250 m (panamax),18397,2427,195.28379931728,0.1319236832092189
>250 m (capesize/VLCC),4831,736,294.9660405845581,0.15234941006002897
