year,sub_event_type,events
2023,Air/drone strike,6012
2023,Armed clash,8324
2023,Arrests,1195
2023,Attack,3114
2023,Change to group/activity,1619
2023,Disrupted weapons use,1012
2023,Excessive force against protesters,54
2023,Government regains territory,29
2023,Grenade,358
2023,Headquarters or base established,29
2023,Looting/property destruction,1468
2023,Mob violence,4850
2023,Non-state actor overtakes territory,43
2023,Non-violent transfer of territory,18
2023,Other,1105
2023,Peaceful protest,17328
2023,Protest with intervention,639
2023,Remote explosive/landmine/IED,1311
2023,Sexual violence,10
2023,Shelling/artillery/missile attack,9455
2023,Suicide bomb,3
2023,Violent demonstration,1398
2024,Abduction/forced disappearance,1374
2024,Agreement,11
2024,Air/drone strike,21578
2024,Armed clash,8538
2024,Arrests,1506
2024,Attack,3030
2024,Change to group/activity,1799
2024,Disrupted weapons use,1794
2024,Excessive force against protesters,49
2024,Government regains territory,10
2024,Grenade,210
2024,Headquarters or base established,55
2024,Looting/property destruction,2778
2024,Mob violence,4140
2024,Non-state actor overtakes territory,277
2024,Non-violent transfer of territory,394
2024,Other,1334
2024,Peaceful protest,22697
2024,Protest with intervention,417
2024,Remote explosive/landmine/IED,1350
2024,Sexual violence,11
2024,Shelling/artillery/missile attack,17871
2024,Suicide bomb,14
2024,Violent demonstration,598
2025,Abduction/forced disappearance,1292
2025,Agreement,33
2025,Air/drone strike,8573
2025,Armed clash,4557
2025,Arrests,1553
2025,Attack,5160
2025,Change to group/activity,2553
2025,Chemical weapon,1
2025,Disrupted weapons use,1716
2025,Excessive force against protesters,48
2025,Government regains territory,64
2025,Grenade,163
2025,Headquarters or base established,42
2025,Looting/property destruction,3201
2025,Mob violence,4733
2025,Non-state actor overtakes territory,25
2025,Non-violent transfer of territory,143
2025,Other,1666
2025,Peaceful protest,21481
2025,Protest with intervention,519
2025,Remote explosive/landmine/IED,1684
2025,Sexual violence,6
2025,Shelling/artillery/missile attack,4560
2025,Suicide bomb,2
2025,Violent demonstration,714
2026,Abduction/forced disappearance,340
2026,Agreement,15
2026,Air/drone strike,10958
2026,Armed clash,1457
2026,Arrests,820
2026,Attack,1666
2026,Change to group/activity,1393
2026,Disrupted weapons use,2300
