chokepoint_id,detections,scenes,mean_length_m,median_length_m,large_vessels,fishing_like,dark,dark_strict,dark_no_candidate,cargo,solas_detections,solas_dark,standardised_dark_rate,standardised_coverage,chokepoint,theatre,critical,area_km2,dark_rate,dark_rate_strict,solas_dark_rate,fishing_share,large_share,cargo_share,density_per_100k_km2,detections_per_scene,solas_dark_lo,solas_dark_hi,conflict_events,threat_events,conflict_weighted,log_conflict,log_traffic
south_china_sea,6006,76,65.71983710959042,30.41334435,1379,3397,3051,4179,1779,994,1379,196,0.4170144407698809,1.0,South China Sea,East Asia,True,3424567.8429441396,0.5079920079920079,0.6958041958041958,0.14213197969543148,0.5656010656010656,0.2296037296037296,0.1655011655011655,175.3797931722846,79.02631578947368,0.12469473860067098,0.16155756968973628,0.0,0.0,0.0,0.0,7.229113877793302
persian_gulf,3613,36,103.23770843094381,72.0750656,1376,762,1717,2219,1164,280,1376,584,0.5219596506918235,1.0,Persian Gulf,Persian Gulf,True,718831.3056123493,0.47522834209797954,0.6141710489897592,0.42441860465116277,0.21090506504290063,0.38084694159977855,0.07749792416274565,502.62140390813965,100.36111111111111,0.39854911488398953,0.45070894488171104,2501.0,1752.0,1943.2612994130507,7.824845691026856,7.226936018493289
black_sea,2628,68,110.86814950962709,110.8142055,1465,690,1442,1822,914,694,1465,705,0.6252413750651706,1.0,Black Sea,Black Sea,True,855123.0788437406,0.5487062404870624,0.693302891933029,0.4812286689419795,0.2625570776255708,0.5574581430745814,0.2640791476407915,307.32418116389334,38.64705882352941,0.455725279616574,0.506830247133213,587.0,29.0,359.3932112831668,6.376726947898627,7.289610521451167
bay_of_bengal,2595,48,64.32637637117533,24.144146,636,1568,1878,2083,1611,388,636,111,0.608400390854674,1.0,Bay of Bengal,Indian Ocean,False,2495858.8449815763,0.7236994219653179,0.8026974951830443,0.17452830188679244,0.6042389210019268,0.24508670520231213,0.14951830443159922,103.97222604226063,54.0625,0.14700698350970778,0.20595787529284584,0.0,0.0,0.0,0.0,6.455198563340122
india_west_coast,2442,19,52.90151194103194,20.87858775,407,1791,1801,1943,1544,164,407,32,0.4474621223472055,1.0,India West Coast corridor,Indian Ocean,True,1995165.344429149,0.7375102375102375,0.7956592956592956,0.07862407862407862,0.7334152334152334,0.16666666666666666,0.06715806715806716,122.39587093964374,128.52631578947367,0.05624116859250226,0.10888719231350141,47.0,32.0,47.0,3.871201010907891,6.008813185442595
eastern_med,2286,70,115.06776628167104,115.7304115,1290,601,621,1128,355,893,1290,100,0.38111378438333965,1.0,Eastern Mediterranean,Mediterranean,True,731363.5034830441,0.27165354330708663,0.49343832020997375,0.07751937984496124,0.26290463692038496,0.5643044619422573,0.3906386701662292,312.56686847417984,32.65714285714286,0.06414855743736055,0.09339901252792733,7725.0,5281.0,7273.185923128382,8.952346543226227,7.162397497355718
hormuz,1965,11,136.80256328452927,134.387039,1304,297,1644,1784,1345,92,1304,1094,0.8540041674495169,1.0,Strait of Hormuz,Persian Gulf,True,98507.63172144249,0.8366412213740458,0.9078880407124682,0.838957055214724,0.15114503816793892,0.6636132315521629,0.04681933842239186,1994.7693043281963,178.63636363636363,0.8180151814422666,0.8579076520262513,695.0,577.0,414.5473528732591,6.54534966033442,7.1731917424865985
gulf_of_guinea,1747,53,81.43325895861476,37.046257,510,685,313,547,203,200,510,29,0.17114685329677523,1.0,Gulf of Guinea,West Africa,False,2035589.3815755683,0.17916428162564396,0.31310818546078995,0.056862745098039215,0.3921007441327991,0.2919290211791643,0.11448196908986835,85.82280963991879,32.9622641509434,0.039879888760349536,0.08047159698934453,0.0,0.0,0.0,0.0,6.234410725718371
dover,1630,21,107.53654242944786,96.59347915000001,795,600,273,772,134,532,795,35,0.1992205204633597,1.0,Dover Strait / English Channel,North Europe,False,83290.89433562526,0.16748466257668712,0.4736196319018405,0.0440251572327044,0.36809815950920244,0.48773006134969327,0.3263803680981595,1956.9966357088506,77.61904761904762,0.03182338324739108,0.060612463859219284,0.0,0.0,0.0,0.0,6.678342114654332
malacca,1254,22,108.69128197878788,79.90398024999999,574,533,512,803,328,297,574,61,0.4058540203177365,1.0,Strait of Malacca,South East Asia,True,443792.43382173305,0.4082934609250399,0.6403508771929824,0.10627177700348432,0.42503987240829344,0.45773524720893144,0.23684210526315788,282.56452891752525,57.0,0.08362507414963162,0.13415363890944892,0.0,0.0,0.0,0.0,6.352629396319567
taiwan_strait,1146,9,110.62530035671902,101.5643575,577,339,257,428,148,430,577,88,0.27994813215323266,1.0,Taiwan Strait,East Asia,True,203790.31608452505,0.22425828970331588,0.37347294938917974,0.15251299826689774,0.29581151832460734,0.5034904013961605,0.37521815008726006,562.3427167779059,127.33333333333333,0.12548307284526888,0.18413937843921213,0.0,0.0,0.0,0.0,6.3578422665081
bosphorus,1061,15,115.04631675834118,117.022095,610,257,138,416,52,491,610,13,0.256864634651613,1.0,Turkish Straits (Bosphorus-Dardanelles),Black Sea,True,74237.72137450667,0.13006597549481622,0.3920829406220547,0.021311475409836064,0.24222431668237512,0.5749293119698398,0.46277097078228085,1429.1925726647487,70.73333333333333,0.01249599464771528,0.03611850133952312,486.0,1.0,302.6536535799875,6.18826412308259,6.413458957167357
cape_of_good_hope,776,26,171.6298904685567,185.82775099999998,560,188,122,427,89,413,560,28,0.29432688570924764,1.0,Cape of Good Hope corridor,Indian Ocean,True,1810018.8611011775,0.15721649484536082,0.5502577319587629,0.05,0.2422680412371134,0.7216494845360825,0.5322164948453608,42.87248142419344,29.846153846153847,0.03481685637857681,0.07131507854782806,0.0,0.0,0.0,0.0,6.327936783729195
suez_canal,756,13,120.889793830291,126.276081,424,250,258,358,214,179,424,12,0.4377285405490334,1.0,Suez Canal & Gulf of Suez,Red Sea / Mediterranean,True,120343.3244005038,0.3412698412698413,0.47354497354497355,0.02830188679245283,0.3306878306878307,0.5608465608465608,0.23677248677248677,628.2026890698353,58.15384615384615,0.016262458459900955,0.04881209249540587,6421.0,4685.0,2902.684990301573,8.76748487464946,6.049733455231958
singapore_strait,506,3,144.1995734409091,146.4730145,331,81,47,185,8,128,331,8,0.1965979441775143,1.0,Singapore Strait,South East Asia,True,15822.763197233655,0.09288537549407115,0.36561264822134387,0.02416918429003021,0.1600790513833992,0.6541501976284585,0.25296442687747034,3197.924368156288,168.66666666666666,0.01229655167859281,0.04696012371657912,0.0,0.0,0.0,0.0,5.802118375377063
gulf_of_oman,472,17,148.62775687372883,147.93617999999998,314,100,255,335,171,65,314,144,0.6167785512890985,1.0,Gulf of Oman,Persian Gulf,True,248513.29008491704,0.5402542372881356,0.7097457627118644,0.4585987261146497,0.211864406779661,0.6652542372881356,0.13771186440677965,189.9294801653133,27.764705882352942,0.40431624117827075,0.5138820059989396,457.0,382.0,156.83227477339148,6.126869184114185,5.749392985908253
gibraltar,415,6,139.67615021951806,150.564957,273,106,83,222,53,153,273,17,0.2775268688095815,1.0,Strait of Gibraltar,Mediterranean,True,18027.914198728082,0.2,0.5349397590361445,0.06227106227106227,0.25542168674698795,0.6578313253012048,0.3686746987951807,2301.985661931314,69.16666666666667,0.03923864533917143,0.09745179424794267,0.0,0.0,0.0,0.0,5.60947179518496
sunda,412,6,99.69029764830097,97.74837945,199,74,96,183,52,67,199,22,0.34163591934377346,0.9830097087378641,Sunda Strait,South East Asia,False,48665.119718955735,0.23300970873786409,0.4441747572815534,0.11055276381909548,0.1796116504854369,0.4830097087378641,0.16262135922330098,846.6022530702216,68.66666666666667,0.07414855933400147,0.16170838519808664,0.0,0.0,0.0,0.0,5.293304824724492
sri_lanka_corridor,410,11,163.4190486282927,176.53614850000002,303,83,126,253,69,125,303,58,0.46953095061083694,1.0,Dondra Head / Sri Lanka corridor,Indian Ocean,True,399513.1147579026,0.3073170731707317,0.6170731707317073,0.19141914191419143,0.20243902439024392,0.7390243902439024,0.3048780487804878,102.62491639315829,37.27272727272727,0.15109297385070564,0.2394720603558687,0.0,0.0,0.0,0.0,5.713732805509369
southern_red_sea,312,18,121.35428827467949,140.859688,180,76,134,190,73,80,180,42,0.49946582029722264,1.0,Southern Red Sea,Red Sea / Horn of Africa,True,472458.3067218852,0.42948717948717946,0.6089743589743589,0.23333333333333334,0.24358974358974358,0.5769230769230769,0.2564102564102564,66.03757317016763,17.333333333333332,0.17751219946009705,0.30029913377460066,923.0,216.0,604.6301353881474,6.828712071641684,5.19295685089021
mozambique_channel,305,30,121.47574786590164,124.774483,179,74,62,107,47,132,179,5,0.36375385754695233,0.9737704918032787,Mozambique Channel,Indian Ocean,False,2150470.5596377016,0.20327868852459016,0.35081967213114756,0.027932960893854747,0.24262295081967214,0.5868852459016394,0.43278688524590164,14.182942362688499,10.166666666666666,0.011988873582240142,0.06371381114596174,0.0,0.0,0.0,0.0,5.187385805840755
panama,233,6,164.76927699570817,177.380203,173,36,36,100,15,95,173,5,0.4059358662788741,1.0,Panama Canal approaches,Americas,True,130019.10172800618,0.15450643776824036,0.4291845493562232,0.028901734104046242,0.15450643776824036,0.7424892703862661,0.40772532188841204,179.20443758135247,38.833333333333336,0.012406768562089943,0.0658644074507939,0.0,0.0,0.0,0.0,5.153291594497779
northern_red_sea,180,12,153.62600675833335,164.588913,137,23,47,92,20,62,137,18,0.29392782776141685,0.8833333333333333,Northern & Central Red Sea,Red Sea / Horn of Africa,True,831351.657997732,0.2611111111111111,0.5111111111111111,0.13138686131386862,0.12777777777777777,0.7611111111111111,0.34444444444444444,21.65148746242003,15.0,0.08474946760988773,0.198132862610729,3.0,3.0,2.4956140582332034,1.3862943611198906,4.919980925828125
gulf_of_aden,126,12,122.2752863063492,125.604061,69,25,54,78,41,31,69,13,0.5387366029834524,0.9523809523809523,Gulf of Aden,Red Sea / Horn of Africa,True,451285.22324502096,0.42857142857142855,0.6190476190476191,0.18840579710144928,0.1984126984126984,0.5476190476190477,0.24603174603174602,27.920258300057284,10.5,0.11354641477529213,0.2961315714303925,1047.0,256.0,778.1927133911404,6.954638864880987,4.23410650459726
bab_el_mandeb,73,9,156.84389145068494,169.43895,56,7,16,29,9,30,56,3,0.05405405405405406,0.5068493150684932,Bab-el-Mandeb,Red Sea / Horn of Africa,True,48225.887064353185,0.2191780821917808,0.3972602739726027,0.05357142857142857,0.0958904109589041,0.7671232876712328,0.410958904109589,151.37098443122042,8.11111111111111,0.01838544792866792,0.14607539536429218,753.0,193.0,409.8146775726397,6.625392368007956,4.02535169073515
