fold,n_train,n_test,positives_test,roc_auc,pr_auc,base_rate
1,830.0,208,13,0.8631163708086785,0.5202964927807695,0.0625
2,830.0,208,10,0.806060606060606,0.1476088134529048,0.04807692307692308
3,830.0,208,21,0.6850012732365672,0.17683177252506055,0.10096153846153846
4,831.0,207,27,0.8043209876543209,0.3904751661328541,0.13043478260869565
5,831.0,207,22,0.8670761670761671,0.6344047160906607,0.10628019323671498
overall (out-of-fold),,1038,93,0.8031859816806054,0.3547063551810554,0.08959537572254335
