route,solas_detections,commercial,scenes,mean_length_m,dark_rate,solas_per_scene,commercial_per_scene
Cape of Good Hope route,560,405,26,222.4782167482143,0.05,21.53846153846154,15.576923076923077
Suez / Red Sea route,797,313,41,187.36708856838143,0.09410288582183186,19.4390243902439,7.634146341463414
