country,admin1,events,fatalities,population_exposure,lat,lon
Iran,Ilam,749,105,450900,33.0433,46.8724
Turkey,Antalya,724,7,565355,36.7628,31.9301
Iran,Yazd,685,348,511819,31.4825,54.4162
Iraq,Wassit,681,87,492503,32.7059,45.704
Yemen,Raymah,672,49,141281,14.657,43.6874
Iran,Hamadan,621,370,706537,34.8698,48.559
Jordan,Irbid,620,35,483847,32.4735,35.8353
Turkey,Bitlis,565,274,105543,38.4969,42.2274
Turkey,Aydin,559,1,247219,37.7322,28.0578
Turkey,Siirt,553,360,161498,37.9278,42.0911
Turkey,Eskisehir,542,3,413213,39.6143,31.0627
Turkey,Balikesir,541,3,117643,39.8038,27.9824
Iraq,Al Najaf,538,148,664163,31.0697,43.38
Bahrain,Muharraq,533,4,141305,26.2547,50.6428
Iran,Semnan,528,17,233858,35.7868,54.9676
Iran,Chaharmahal and Bakhtiari,520,34,265574,31.979,50.8101
Turkey,Gaziantep,507,100,958557,37.1146,37.2439
Iran,Zanjan,505,248,421465,36.4014,48.422
Turkey,Canakkale,502,0,61983,39.9635,26.8428
Iran,Ardabil,491,497,545622,38.4066,47.9857
Turkey,Agri,453,197,226768,39.466,43.4673
Turkey,Samsun,436,1,114984,41.2783,35.8756
Saudi Arabia,Asir,433,343,243191,19.2036,42.9532
Syria,Tartous,422,870,657487,34.9536,36.075
Yemen,Al Mahrah,422,38,47075,17.0575,51.8238
Turkey,Mus,418,83,120320,39.009,41.9466
Iran,Golestan,395,417,365607,37.2982,54.8804
Turkey,Manisa,393,0,138210,38.7462,28.0939
Iran,Qom,390,1935,798824,34.6674,51.002
Iraq,Kerbala,389,176,498734,32.49,43.8069
Turkey,Denizli,360,1,453487,37.6788,29.2458
Iran,North Khorasan,342,72,175800,37.4249,57.178
Turkey,Bingol,325,206,139518,39.0247,40.718
Jordan,Az Zarqa,312,3,658342,31.8608,36.8739
Jordan,Al Karak,311,27,81084,31.1106,35.8385
Mediterranean Sea,Wider Black Sea Region,305,30,0,43.4965,34.2569
Turkey,Kayseri,301,16,132035,38.5057,35.9186
Yemen,Suqutra,291,10,59979,12.5081,53.893
Turkey,Edirne,289,20,54053,41.2961,26.6957
Turkey,Malatya,288,3,368290,38.5104,37.8439
Turkey,Adiyaman,278,19,230871,37.815,38.2092
Turkey,Tekirdag,268,1,116564,41.0734,27.3901
Turkey,Erzurum,267,56,272719,40.0725,41.4751
Turkey,Konya,253,17,514689,38.0284,32.412
Iran,South Khorasan,236,7,194923,32.8019,58.24
Jordan,Al Balqa,235,18,184003,31.9393,35.6476
Kuwait,Al Asimah,229,5,332836,29.3474,47.9688
Turkey,Elazig,225,58,231510,38.7101,39.3439
Jordan,Maan,208,14,41968,30.2431,36.501
Turkey,Trabzon,204,8,81800,40.8094,39.7814
Turkey,Sakarya,200,10,275915,40.7353,30.5722
Jordan,Al Mafraq,197,76,111933,32.5408,38.1525
Turkey,Artvin,193,2,31915,41.0385,41.8484
Saudi Arabia,Ar Riyadh,180,192,482812,23.4556,45.232
Turkey,Ordu,179,12,147943,40.738,37.411
United Arab Emirates,Abu Dhabi,177,11,588672,23.7727,53.7133
Jordan,Madaba,176,8,144849,31.6029,35.6669
