matched_category,detections,mean_length_m,fishing_score
unmatched,40948,50.69623346253541,0.6157072827366415
other,25512,120.16812740723974,0.2081129020068987
cargo,23219,159.51310841250267,0.10117473801627977
fishing,9076,32.04953938464081,0.8729610010467166
noisy_vessel,2157,96.23614883889661,0.4142970822902179
passenger,2061,100.30610443105289,0.3010289881125667
seismic_vessel,828,62.58591727910628,0.48917152234299516
gear,562,29.552864103558722,0.7947950427046263
carrier,328,90.85856761554878,0.3543715304878049
bunker,149,113.90933010738254,0.16434563087248322
