term,coef,std_err,z,p_value,odds_ratio,or_lo,or_hi
const,0.159523269973929,0.5936984519141777,0.268694097920587,0.7881650939965814,1.1729515564552975,0.3663726429325674,3.7552349508915994
log_length,-0.4274188242580922,0.11252720537813209,-3.7983598972516064,0.00014565672375051845,0.6521903418822603,0.5231076030654894,0.8131257117118378
fishing_score,-0.8333749272922183,0.583805130492116,-1.4274881870081007,0.1534392277751816,0.4345801322229968,0.1383993465808325,1.3646010330883553
conflict_log_300km,0.11683858413795563,0.04435637063466241,2.6340880118503605,0.008436361672355838,1.1239379936274758,1.0303532403149387,1.2260228474005999
near_conflict_150km,0.8726483824148648,0.3336371907938228,2.6155608741896335,0.00890810405591621,2.393240684461323,1.244497090026815,4.602341797068798
ascending_pass,0.05249177543604439,0.07154442441895509,0.7336948457179445,0.4631347405839553,1.0538938942251572,0.9160056742604129,1.2125387118173092
