admin_id,country,admin1,lat,lon,events,fatalities,weeks_active,is_maritime
2281,Oman,Muscat,23.2501,58.7601,21,9,18,False
2289,Palestine,Gaza Strip,31.407,34.3577,37943,70628,548,False
2290,Palestine,West Bank,31.9475,35.267,58630,2230,549,False
2501,Qatar,Ad Dawnah,25.2934,51.5014,106,7,40,False
2503,Qatar,Al Wakrah,24.8527,51.2992,2,0,2,False
2504,Qatar,Ar Rayyan,24.931,50.9784,26,0,13,False
2505,Qatar,Ash Shamal,26.0015,51.2173,2,0,2,False
2506,Qatar,Ash Sheehaniya,25.4451,51.0111,6,0,5,False
2507,Qatar,Umm Salal,25.4782,51.3371,3,0,1,False
2716,Saudi Arabia,Al Jawf,30.1511,39.7423,5,1,4,False
2717,Saudi Arabia,Al Madinah,25.0041,39.9162,15,6,14,False
2718,Saudi Arabia,Al Qassim,26.2766,43.325,3,4,3,False
2719,Saudi Arabia,Ar Riyadh,23.4556,45.232,180,192,82,False
2720,Saudi Arabia,Asir,19.2036,42.9532,433,343,200,False
2721,Saudi Arabia,Eastern,23.1567,50.3153,163,130,77,False
2722,Saudi Arabia,Hail,27.0911,41.45,2,6,2,False
2723,Saudi Arabia,Jizan,17.353,42.7999,1948,4182,293,False
2724,Saudi Arabia,Mecca,21.0317,41.4478,55,25,42,False
2725,Saudi Arabia,Najran,18.2376,45.6117,893,1606,261,False
2726,Saudi Arabia,Northern Borders,29.8425,42.6838,2,7,2,False
2727,Saudi Arabia,Tabuk,27.2704,38.9507,5,1,5,False
3180,Syria,Al Hasakeh,36.4131,40.5519,11806,7125,496,False
3181,Syria,Aleppo,36.1445,37.3978,27835,19132,496,False
3182,Syria,Ar Raqqa,36.0265,38.922,10133,14099,494,False
3183,Syria,As Sweida,32.7624,36.8919,3082,2316,429,False
3184,Syria,Damascus,33.5153,36.2738,2318,3408,356,False
3185,Syria,Dara,32.831,36.1112,10068,9226,495,False
3186,Syria,Deir ez Zor,35.2318,40.2761,17990,26425,496,False
3187,Syria,Hama,35.3165,37.3411,18594,14474,495,False
3188,Syria,Homs,34.4708,38.2063,6191,8976,470,False
3189,Syria,Idleb,35.8547,36.5648,27713,16659,493,False
3190,Syria,Lattakia,35.5854,35.9916,3330,3898,473,False
3191,Syria,Quneitra,33.0113,35.7989,3423,831,372,False
3192,Syria,Rural Damascus,33.4538,37.4305,9381,16083,489,False
3193,Syria,Tartous,34.9536,36.075,422,870,116,False
3347,Turkey,Adana,37.4745,35.3726,1377,12,442,False
3348,Turkey,Adiyaman,37.815,38.2092,278,19,184,False
3349,Turkey,Afyonkarahisar,38.5248,30.6111,89,0,64,False
3350,Turkey,Agri,39.466,43.4673,453,197,272,False
3351,Turkey,Aksaray,38.5127,33.8656,35,0,28,False
