admin_id,chokepoint_id,chokepoint,country,admin1,distance_km,decay_weight
3396,bosphorus,Turkish Straits (Bosphorus-Dardanelles),Turkey,Kirklareli,6.638346289941869,0.956709351180763
3397,bosphorus,Turkish Straits (Bosphorus-Dardanelles),Turkey,Kirsehir,333.8695076897066,0.1079813536739066
3398,bosphorus,Turkish Straits (Bosphorus-Dardanelles),Turkey,Kocaeli,0.0,1.0
3399,bosphorus,Turkish Straits (Bosphorus-Dardanelles),Turkey,Konya,274.63183068803767,0.16027264683652204
3400,bosphorus,Turkish Straits (Bosphorus-Dardanelles),Turkey,Kutahya,52.02817804127009,0.7069081615823388
3402,bosphorus,Turkish Straits (Bosphorus-Dardanelles),Turkey,Manisa,117.17737555009681,0.45786426488742776
3404,bosphorus,Turkish Straits (Bosphorus-Dardanelles),Turkey,Mersin,461.2673459266466,0.046184287344465245
3405,bosphorus,Turkish Straits (Bosphorus-Dardanelles),Turkey,Mugla,317.35075898650325,0.12055228417631024
3407,bosphorus,Turkish Straits (Bosphorus-Dardanelles),Turkey,Nevsehir,393.8804808156873,0.07237677110916593
3408,bosphorus,Turkish Straits (Bosphorus-Dardanelles),Turkey,Nigde,448.2323491417511,0.05037724666277568
3410,bosphorus,Turkish Straits (Bosphorus-Dardanelles),Turkey,Osmaniye,596.32293551254,0.01877017252775282
3412,bosphorus,Turkish Straits (Bosphorus-Dardanelles),Turkey,Sakarya,31.36010392186072,0.8113405823237476
3413,bosphorus,Turkish Straits (Bosphorus-Dardanelles),Turkey,Samsun,474.19517350278085,0.042370574441883135
3416,bosphorus,Turkish Straits (Bosphorus-Dardanelles),Turkey,Sinop,398.29714527955116,0.07027674708111674
3419,bosphorus,Turkish Straits (Bosphorus-Dardanelles),Turkey,Tekirdag,0.0,1.0
3420,bosphorus,Turkish Straits (Bosphorus-Dardanelles),Turkey,Tokat,549.1441697409451,0.02570779227677482
3423,bosphorus,Turkish Straits (Bosphorus-Dardanelles),Turkey,Usak,139.09392586412574,0.39562327784397905
3425,bosphorus,Turkish Straits (Bosphorus-Dardanelles),Turkey,Yalova,0.0,1.0
3426,bosphorus,Turkish Straits (Bosphorus-Dardanelles),Turkey,Yozgat,436.6355867976866,0.05442651085227336
3427,bosphorus,Turkish Straits (Bosphorus-Dardanelles),Turkey,Zonguldak,136.10922497060903,0.40357423393512637
4202,bosphorus,Turkish Straits (Bosphorus-Dardanelles),Mediterranean Sea,Wider Black Sea Region,393.52318364020255,0.07254937670511441
4203,bosphorus,Turkish Straits (Bosphorus-Dardanelles),Mediterranean Sea,Eastern Mediterranean Sea,542.1872112187064,0.026928194781941424
285,hormuz,Strait of Hormuz,Bahrain,Capital,394.02400965641505,0.07230754987157458
286,hormuz,Strait of Hormuz,Bahrain,Muharraq,384.64042944984146,0.07697538914855517
287,hormuz,Strait of Hormuz,Bahrain,Northern,401.155541206023,0.06895023443288119
288,hormuz,Strait of Hormuz,Bahrain,Southern,395.5587412375908,0.07157150386713847
1331,hormuz,Strait of Hormuz,Iran,Bushehr,331.77778952243733,0.1094976785781796
1334,hormuz,Strait of Hormuz,Iran,Fars,246.4978257685914,0.19333732100060838
1338,hormuz,Strait of Hormuz,Iran,Hormozgan,0.0,1.0
1341,hormuz,Strait of Hormuz,Iran,Kerman,203.77610403597257,0.257044165093125
1344,hormuz,Strait of Hormuz,Iran,Kohgiluyeh and Boyer-Ahmad,494.36699577808554,0.037039144287738086
1354,hormuz,Strait of Hormuz,Iran,Sistan and Baluchestan,279.08868714112117,0.15558061650191254
1358,hormuz,Strait of Hormuz,Iran,Yazd,454.02637866915325,0.04846843467033244
2271,hormuz,Strait of Hormuz,Oman,Ad Dakhiliyah,290.3859520298711,0.144293429641945
2272,hormuz,Strait of Hormuz,Oman,Ad Dhahirah,221.6785119535714,0.2281260968933915
2273,hormuz,Strait of Hormuz,Oman,Al Batinah North,84.98639982248913,0.567465117306783
2274,hormuz,Strait of Hormuz,Oman,Al Batinah South,168.67181720624586,0.32482172637764284
2275,hormuz,Strait of Hormuz,Oman,Al Buraymi,74.53406228053706,0.6084176256398628
2276,hormuz,Strait of Hormuz,Oman,Al Wusta,503.0354234684795,0.03495934410078953
2277,hormuz,Strait of Hormuz,Oman,Ash Sharqiyah North,366.1725193978908,0.08706066283720366
2278,hormuz,Strait of Hormuz,Oman,Ash Sharqiyah South,347.8311538859314,0.09838426864097595
2280,hormuz,Strait of Hormuz,Oman,Musandam,0.0,1.0
2281,hormuz,Strait of Hormuz,Oman,Muscat,202.71142077879824,0.25887512617770786
2501,hormuz,Strait of Hormuz,Qatar,Ad Dawnah,301.4579839200559,0.1340262111181177
2503,hormuz,Strait of Hormuz,Qatar,Al Wakrah,323.16773010783544,0.11596677700205774
2504,hormuz,Strait of Hormuz,Qatar,Ar Rayyan,355.0686628573217,0.09374992453904335
2505,hormuz,Strait of Hormuz,Qatar,Ash Shamal,328.06506808845546,0.11224172730438275
2506,hormuz,Strait of Hormuz,Qatar,Ash Sheehaniya,350.3064990361713,0.0967740247332983
2507,hormuz,Strait of Hormuz,Qatar,Umm Salal,317.4883933181949,0.1204417206880634
2721,hormuz,Strait of Hormuz,Saudi Arabia,Eastern,471.6495288907927,0.04309578025399676
3472,hormuz,Strait of Hormuz,United Arab Emirates,Abu Dhabi,158.02311408308933,0.3487194922052571
3474,hormuz,Strait of Hormuz,United Arab Emirates,Al Fujayrah,0.0,1.0
3475,hormuz,Strait of Hormuz,United Arab Emirates,Ash Shariqah,0.0,1.0
3476,hormuz,Strait of Hormuz,United Arab Emirates,Dubai,1.0674727702417504,0.9929087770838032
3477,hormuz,Strait of Hormuz,United Arab Emirates,Ras Al Khaymah,0.0,1.0
3478,hormuz,Strait of Hormuz,United Arab Emirates,Umm Al Qaywayn,0.0,1.0
3853,hormuz,Strait of Hormuz,Qatar,Al Khor,316.39506112083654,0.12132281328442979
1405,suez_canal,Suez Canal & Gulf of Suez,Israel,HaDarom,27.073648783410047,0.8348602011760983
1406,suez_canal,Suez Canal & Gulf of Suez,Israel,Haifa,119.81223519276935,0.44989177073685793
1407,suez_canal,Suez Canal & Gulf of Suez,Israel,HaMerkaz,61.67118186543817,0.6628933162108954
1408,suez_canal,Suez Canal & Gulf of Suez,Israel,HaZafon,156.12191110633066,0.3531675316551882
1409,suez_canal,Suez Canal & Gulf of Suez,Israel,Jerusalem,39.96132552782712,0.7661258429862345
1410,suez_canal,Suez Canal & Gulf of Suez,Israel,Tel Aviv,58.87182202555377,0.6753806551507644
1506,suez_canal,Suez Canal & Gulf of Suez,Jordan,Ajlun,131.5789039322868,0.4159489706790616
1507,suez_canal,Suez Canal & Gulf of Suez,Jordan,Al Aqabah,58.34235231223537,0.6777688248954098
1508,suez_canal,Suez Canal & Gulf of Suez,Jordan,Al Balqa,105.97729878463711,0.49336040606898846
1509,suez_canal,Suez Canal & Gulf of Suez,Jordan,Al Karak,117.90713797462043,0.4556421271388702
1510,suez_canal,Suez Canal & Gulf of Suez,Jordan,Al Mafraq,350.6826131535372,0.09653167485166933
1511,suez_canal,Suez Canal & Gulf of Suez,Jordan,Amman,162.55534432899645,0.3383405671964759
1512,suez_canal,Suez Canal & Gulf of Suez,Jordan,At Tafilah,101.34684547050404,0.5088277967506455
1513,suez_canal,Suez Canal & Gulf of Suez,Jordan,Az Zarqa,216.99628564721812,0.23535932164973294
1514,suez_canal,Suez Canal & Gulf of Suez,Jordan,Irbid,151.6301761820557,0.3639030324460357
