chokepoint_id,week,forecast,lower,upper,model
bab_el_mandeb,2026-07-04,89.25,42.875,133.25,ma4
bab_el_mandeb,2026-07-11,86.3125,20.728346044947713,148.53789674441617,ma4
bab_el_mandeb,2026-07-18,78.890625,0.0,155.10086053303058,ma4
bab_el_mandeb,2026-07-25,84.36328125,0.0,172.36328125,ma4
bab_el_mandeb,2026-08-01,84.7041015625,0.0,183.09109257249077,ma4
bab_el_mandeb,2026-08-08,83.567626953125,0.0,191.34517563558484,ma4
bab_el_mandeb,2026-08-15,82.88140869140625,0.0,199.29446637824825,ma4
bab_el_mandeb,2026-08-22,83.87910461425781,0.0,208.3298981030902,ma4
bab_el_mandeb,2026-08-29,83.75806045532227,0.0,215.75806045532227,ma4
bab_el_mandeb,2026-09-05,83.52155017852783,0.0,222.66176722593653,ma4
bab_el_mandeb,2026-09-12,83.51003098487854,0.0,229.44152176051614,ma4
bab_el_mandeb,2026-09-19,83.66718655824661,0.0,236.0876576243078,ma4
hormuz,2026-07-04,13.0,0.0,51.0,naive
hormuz,2026-07-11,13.0,0.0,66.74011537017762,naive
hormuz,2026-07-18,13.0,0.0,78.81793068761733,naive
hormuz,2026-07-25,13.0,0.0,89.0,naive
hormuz,2026-08-01,13.0,0.0,97.97058314499202,naive
hormuz,2026-08-08,13.0,0.0,106.08061022576076,naive
hormuz,2026-08-15,13.0,0.0,113.53854982045445,naive
hormuz,2026-08-22,13.0,0.0,120.48023074035522,naive
hormuz,2026-08-29,13.0,0.0,127.0,naive
hormuz,2026-09-05,13.0,0.0,133.16655108639844,naive
hormuz,2026-09-12,13.0,0.0,139.0317420335052,naive
hormuz,2026-09-19,13.0,0.0,144.63586137523467,naive
black_sea,2026-07-04,60.940908705351134,43.448141946286896,87.85460807548317,sarimax
black_sea,2026-07-11,69.82297792508805,45.08446993099015,107.884696587961,sarimax
black_sea,2026-07-18,72.75307489332408,42.45471410167286,119.36896962202727,sarimax
black_sea,2026-07-25,72.81114133839627,37.82560782026779,126.63854007866034,sarimax
black_sea,2026-08-01,72.3354131704509,33.22039758263458,132.51627448805942,sarimax
black_sea,2026-08-08,72.096616130977,29.24826338175061,138.0214466784655,sarimax
black_sea,2026-08-15,72.09694023966618,25.81542965272488,143.30389563379129,sarimax
black_sea,2026-08-22,72.1909391845342,22.713923196338406,148.3143765102801,sarimax
black_sea,2026-08-29,72.2937840540545,19.815483776861782,153.0348821644506,sarimax
black_sea,2026-09-05,72.38393061113985,17.066945074414974,157.49252088179617,sarimax
black_sea,2026-09-12,72.46502357361537,14.448079688598035,161.7276661047678,sarimax
black_sea,2026-09-19,72.54327942585265,11.946557842550199,165.775068883259,sarimax
suez_canal,2026-07-04,485.260768224936,353.78617381964057,650.100776483393,sarimax
suez_canal,2026-07-11,470.8574367436106,284.92428222814,703.9764120444136,sarimax
suez_canal,2026-07-18,472.38836692785213,244.66768951336962,757.899636351573,sarimax
suez_canal,2026-07-25,475.89813925966865,212.9489504490778,805.5781557765827,sarimax
suez_canal,2026-08-01,474.82165161093707,180.83552120648295,843.4151154884737,sarimax
suez_canal,2026-08-08,475.6725220657691,153.6268516334194,879.446431495154,sarimax
suez_canal,2026-08-15,476.5531585432182,128.70407802372256,912.6788265089289,sarimax
suez_canal,2026-08-22,476.9873592601891,105.12105022924783,943.225309861795,sarimax
suez_canal,2026-08-29,477.6455962361667,83.22181302028042,972.1656210115377,sarimax
suez_canal,2026-09-05,478.28790911361176,62.528736346047424,999.5577847313016,sarimax
suez_canal,2026-09-12,478.88834490101425,42.83644579449009,1025.6008027334017,sarimax
suez_canal,2026-09-19,479.51398189492613,24.072627065961115,1050.5365207423679,sarimax
