chokepoint_id,model,mae,rmse,mape,bias,n,skill_vs_naive_pct
bab_el_mandeb,ma4,28.432692307692307,34.95233705182839,37.41410322641441,3.5288461538461537,26.0,19.559303590859635
bab_el_mandeb,sarimax,31.317254607624452,37.71307265312924,42.92628646100767,7.73013356846452,26.0,11.398409162324729
bab_el_mandeb,naive,35.34615384615385,44.01529454458023,44.601112133889664,0.11538461538461539,26.0,0.0
bab_el_mandeb,gbm,36.778494738856836,42.926548677126455,48.80593558079367,13.141560954812682,26.0,-4.052324614828917
hormuz,naive,23.03846153846154,36.57605353653798,85.06595932280226,0.19230769230769232,26.0,0.0
hormuz,sarimax,27.53189102329651,43.64886778420199,69.6724848899319,-9.890615803079045,26.0,-19.50403449177116
hormuz,ma4,30.41346153846154,47.38434807304721,88.19876965313847,-0.33653846153846156,26.0,-32.01168614357262
hormuz,gbm,31.2208606955452,45.28599337588986,117.86917432826456,7.1264847083244325,26.0,-35.516256775321374
black_sea,sarimax,15.38642491021029,19.905575854433927,25.263882853981524,4.258227635605093,26.0,10.303352541374988
black_sea,ma4,16.23076923076923,21.234043783147275,25.531988988638414,2.9423076923076925,26.0,5.381165919282516
black_sea,naive,17.153846153846153,21.624416399417225,26.135655272728314,1.0,26.0,0.0
black_sea,gbm,19.362579291307732,23.88542454138314,30.30719488789994,6.14597680998946,26.0,-12.876022774439688
suez_canal,sarimax,119.23511239968437,187.86788029561518,18.112110350657023,-6.4331748134697,26.0,2.787302527695412
suez_canal,naive,122.65384615384616,180.71109539815203,18.185089932998856,-5.115384615384615,26.0,0.0
suez_canal,gbm,135.88208345855577,196.14147866357303,20.21759614544008,3.8053792166866,26.0,-10.785016303620253
suez_canal,ma4,172.59615384615384,244.50186801237012,25.15645042788118,-16.5,26.0,-40.718093446221374
