cell_id,cell_lat,cell_lon,corridor,detections,dark,expected,sdr,dark_rate,solas_dark_rate,q_value,is_dark_spot,area_type,persistence,days_observed
2.5_101.0,2.5,101.0,Strait of Malacca,102,6,20.010638623798148,0.2998405054831359,0.058823529411764705,0.024096385542168676,1.0,False,Normal,0.0,1
58.5_10.5,58.5,10.5,Open ocean / other,50,9,30.13665787055511,0.2986396181904899,0.18,0.3333333333333333,1.0,False,Normal,0.3333333333333333,3
60.5_4.5,60.5,4.5,Open ocean / other,42,4,13.475059253601033,0.2968447058168633,0.09523809523809523,0.0,1.0,False,Normal,0.0,4
36.0_122.5,36.0,122.5,Open ocean / other,45,4,13.564722020471196,0.2948825633111686,0.08888888888888889,0.0,1.0,False,Normal,0.0,1
33.0_135.5,33.0,135.5,Open ocean / other,35,3,10.197805734355365,0.29418093246209887,0.08571428571428572,0.0,1.0,False,Normal,0.0,2
68.0_11.0,68.0,11.0,Open ocean / other,26,3,10.365701121363214,0.28941602356420865,0.11538461538461539,0.0,1.0,False,Normal,0.16666666666666666,6
57.0_19.5,57.0,19.5,Open ocean / other,34,3,10.417525855427956,0.28797624710831676,0.08823529411764706,0.05,1.0,False,Normal,0.0,4
36.0_121.5,36.0,121.5,Open ocean / other,25,4,13.911872100218526,0.2875242074671725,0.16,0.0,1.0,False,Normal,0.0,1
37.0_126.0,37.0,126.0,Open ocean / other,53,4,13.94465079655694,0.2868483448138863,0.07547169811320754,0.0,1.0,False,Normal,0.0,1
-6.0_105.5,-6.0,105.5,Sunda Strait,151,10,34.87443917663074,0.2867429623556777,0.06622516556291391,0.061855670103092786,1.0,False,Normal,0.0,3
10.5_-62.0,10.5,-62.0,Open ocean / other,30,2,6.989092571267509,0.28616018168397067,0.06666666666666667,0.0,1.0,False,Normal,0.0,1
57.0_11.5,57.0,11.5,Open ocean / other,43,4,13.979671081766867,0.28612976489962216,0.09302325581395349,0.0,1.0,False,Normal,0.0,4
57.0_8.0,57.0,8.0,Open ocean / other,37,3,10.489943031048668,0.2859882070970688,0.08108108108108109,0.0,1.0,False,Normal,0.0,5
37.0_-7.0,37.0,-7.0,Open ocean / other,33,4,13.987485844853914,0.2859699051257039,0.12121212121212122,0.0,1.0,False,Normal,0.0,3
14.0_109.0,14.0,109.0,South China Sea,29,4,14.105665756219745,0.2835739956645607,0.13793103448275862,0.0,1.0,False,Normal,0.0,1
54.5_13.5,54.5,13.5,Open ocean / other,59,7,24.77440771375352,0.28254964077764605,0.11864406779661017,0.06666666666666667,1.0,False,Normal,0.0,4
21.5_112.5,21.5,112.5,South China Sea,39,4,14.297625525197866,0.27976673420005826,0.10256410256410256,0.0,1.0,False,Normal,0.5,2
28.0_49.0,28.0,49.0,Persian Gulf,155,14,50.2824121404358,0.2784273745837576,0.09032258064516129,0.0,1.0,False,Normal,0.0,3
69.0_15.0,69.0,15.0,Open ocean / other,25,3,10.79742727619176,0.27784396442428244,0.12,,1.0,False,Normal,0.2,5
29.5_121.5,29.5,121.5,Open ocean / other,39,3,10.800899841251674,0.27775463564083397,0.07692307692307693,0.09523809523809523,1.0,False,Normal,0.0,1
13.5_121.0,13.5,121.0,Open ocean / other,27,2,7.218276085823784,0.2770744671193538,0.07407407407407407,0.0,1.0,False,Normal,0.0,2
5.5_5.0,5.5,5.0,Gulf of Guinea,68,9,32.579307746245874,0.276248963609028,0.1323529411764706,0.0,1.0,False,Normal,0.0,3
37.5_121.0,37.5,121.0,Open ocean / other,65,6,21.75413867588913,0.2758095868281841,0.09230769230769231,0.0,1.0,False,Normal,0.0,1
1.0_103.5,1.0,103.5,Singapore Strait,161,10,36.31043428422527,0.27540293023552204,0.062111801242236024,0.009009009009009009,1.0,False,Normal,0.0,1
